Title,Original,Generated
Cosmos Laundromat,Any life you ever wanted!,The story of one man's journey to find his true love.
Dying of Laughter,El pueblo los adoraba. Ellos se odiaban. Esta es su historia,"A comedy about love, fame and the power of the Internet."
Trespass Against Us,Blood is a brutal bond.,The story of a family who fought for their country and their freedom.
The Amazing Transparent Man,Invisible and Deadly!,The secret of immortality is a secret that no one has ever known.
Buchanan Rides Alone,DOUBLE HANGING -- DOUBLE THRILLS!,"The story of a family, a nation, and a man."
Hitched for the Holidays,christmas romance,The holidays are coming to an end...
Going in Style,"Whether they win or lose, they'll be ""Going in Style""","The story of three young men, one bank robber, and one robin."
The Keeping Room,Some things are worth fighting for.,The story of a woman who risked everything to protect her family.
Betsy's Wedding,The wedding picture doesn't always tell the real story.,"It's not a wedding, it's a nightmare."
I Like to Hurt People,"Kick people, stomp people, crush people. It's disgustingly real.","It's not about the money, it's about who you are."
Office Space,Work sucks.,"It's not a job, it's a way of life."
Hisss,She's sexy... venomous... and she'll swallow you whole...,She's the only one who can save the world from the evil of evil.
Home Alone: The Holiday Heist,Hit the jump for more,"It's not just a house, it's a trap."
One Minute to Zero,Produced at a cost of millions...to bring you A MILLION THRILLS!,The story of a man who risked everything to save his country.
The Last Woman,Love. Hate. Loneliness. Humor. Sensuality. Nothing will prepare you for the devastating climax.,"A comedy about love, family, and the power of love."
Somersault,Love can turn you upside down.,The story of a girl who left home for a life of crime.
Subspecies 4: Bloodstorm,The night has fangs!,He's back...
Passion Play,Love Is Stronger Than Death.,He's the only one who can save the world from the evil that is the
Two Seconds,HIS LIFE WAS A LIVING HELL until he killed the thing that Crushed him!,He was the last man on earth.
Paris is Burning,Having a ball... Wish you were here.,The story of a city that changed the face of drag forever.
Repo! The Genetic Opera,Not Your Parent's Opera,"It's not just a loan, it's a way of life."
Blood of Ghastly Horror,Human zombies rise from their coffins as living corpses!,You can't kill him.
The Tale of the Princess Kaguya,A princess's crime and punishment,The story of a girl who became the most beautiful girl in the world.
Dirty Rotten Scoundrels,Nice guys finish last. Meet the winners.,It's a game of cat and mouse.
Harold and Maude,They were meant to be. But exactly what they were meant to be is not quite clear.,"A comedy about love, friendship, and death."
Monster Pies,Sometimes opposites don't attract,Welcome to the school of the future.
Monster High: 13 Wishes,Be scare-ful what you wish for,There's more than one way to die.
God's Little Acre,"Love! Hate! Pride! Passion! Rampant, Riotous In the Heat of a Southern Sun!",The story of a man and a woman who made a difference.
The Payoff,HE'S BACK AGAIN... The Fastest talking newshawk in his greatest role!,"There's more than one way to kill a man."" -- The New York Times"
Fear and Loathing in Las Vegas,"Buy the ticket, take the ride.",It's a trip you'll never forget.
Seven Days to Noon,A Boulting Bros. Thriller With a Difference!,He's back...
Back from Hell,A demonic exorcism releases the evil inside,It's not what you think it is.
Sisters,They were joined at birth by the devil and the evil never left them!,The truth is stranger than fiction.
The Odd Couple II,Some arguments stand the test of time,The story of a man and a woman who met and fell in love.
Dodsworth,Here is a picture that was marked for greatness before it was ever screened!,The story of a man who changed the face of the world.
A League of Ordinary Gentlemen,Inside The Wild Wild World Of Professional Bowling!,"It's not just about the bowl game, it's about life."
Dark House,Death Lives Here,"It's not just a house, it's a place."
John Tucker Must Die,Don't Get Mad. Get Even.,"A comedy about friendship, love, and revenge."
Duel,Fear is the driving force.,It's not just a road trip.
Twister,A Comic Adventure In Windy Living,"A comedy about family, love and family."
Silent Fall,A Savage Crime. A Silent Witness.,It's not what you think it is.
Stag,The life of the party just died!,"It's not a bachelor party, it's a stag party."
Sealed Lips,Master criminal or missing citizen?,The story of a man who's got everything...except his mind.
The Island President,Can this man save the world?,The story of one man's struggle to save the planet from destruction.
Runner Runner,The house always wins.,It's a game of life or death.
Happy Accidents,Sometimes the future is better than it used to be.,The future is here.
Inner Demons,Exorcise caution.,"It's not what you believe, it's what we believe."
Eyeborgs,You Are Being Watched!,"The only way out is through the surveillance system."" [from Wikipedia]"
Alice in Wonderland,You're invited to a very important date.,She was born to rule.
The Wave,Evil is something that you learn,What if you could change the world by changing your mind?
Get Low,Every secret dies somewhere.,The story of a woman who threw herself at the altar of the devil!
Imaginary Crimes,When a father doesn't live up to his dreams... a daughter has to stand up for hers.,The story of a man who made a life hell for himself.
A Simple Plan,Sometimes good people do evil things.,"It's not what you think it is, it's who you are."
She-Wolf of London,A woman whose hatred knew no bounds!,It's not just a nightmare...
Jailbait!,A comedy about getting off ... with probation.,The funniest movie you'll ever see!
Love Potion No. 9,Imagine if sex appeal came in a bottle.,"It's not what you think it is, it's how you feel."
Dillinger,The Best Damn Bank Robber in the World!,He's got it all...except for one thing he's not.
Zapped,Boys will be boys... but better,"It's not what you think it is, it's how you feel."
Spanking the Monkey,A gripping comedy about letting go.,Sometimes the only way out is through the night.
The Beat Generation,Behind the Weird,It's not just a crime...
Under Capricorn,"Mystery, murder and passion from the master of suspense!",He was a man of the people.
Appointment with Danger,ALAN LADD as the U.S. Mail's ace agent smashes the biggest mail robbery plan in history!,The most dangerous man in the world is about to get the job done.
Tumbledown,Turn the page. Start a new chapter.,The story of a woman whose life was changed forever by a tragedy.
High Risk,Getting in was easy... getting out was war!!!,They're going to kill him.
Everyday People,You can't wash out all the color and keep the flavor.,It's about to get a whole lot more complicated.
Children of a Lesser God,Love has a language all of its own.,"A comedy about love, friendship, and the power of words."
Mr. Magoo,You won't believe your eyes.,He's got the eyes of a killer...
Hellgate,Beyond the darkness terror lives forever.,The story of a girl who was kidnapped by a gang of killers.
This Man Must Die,The House of Hatred and Revenge,"He's a killer, but he's not afraid to kill."
The Shrine,"Once you find it, they won't let you leave.",It's not what you believe.
Patrick,Cruel. Controlling. Comatose.,He's a psychic.
For the Moment,A Moment Can Last A Lifetime.,"A romantic comedy about love, war, and love in 1942."
Bayou,"Somewhere, a 15-year old girl may be a teenager... in the Cajun country, she's a woman full-grown! ...and every Bayou man knows it!",The story of one woman's quest to become the most beautiful woman in the world
Asphalt Playground,"Where I come from, when you stop dreaming, you die.",The story of a 12 year old boy who finds himself in love with a beautiful
The Star Maker,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...","It's not what you see, it's who you trust."
Blood Widow,Die in Silence.,It's not just a murder mystery.
Beach Blanket Bingo,It's the game that separates the girls and the boys...into groups of two!,It's all about the fun!
A Better Life,Every father wants more for his son.,The story of a man who risked everything to save his family.
A Single Shot,One Chance. One Secret. One Mistake,It's not just a game...
April Fool's Day,Childish pranks turn into a bloody battle for survival!,Some secrets are just too good to be true.
La viaccia,A woman's touch becomes a man's obsession,"A story of love, power, and the power to change."
